id,name,level,difficulty,tags
12215,最後,IN Lv.15-,14.899999,-
12226,凄美地,IN Lv.13,13.499998,楼梯+32分
12230,More One Night(Assertive Hardcore Bootleg),IN Lv.14,14.0,多押+32分+变速+位移
12250,絶望性：ヒーロー治療薬,IN Lv.14,14.799999,32分+耐力+纵连
12271,驟雨の狹間,AT Lv.16,16.0,底力+楼梯+爆发+耐力+纵连
12272,Brain Power,IN Lv.14,14.0,底力+纵连
12273,Lunàtixxx Gear,AT lv.15,15.800003,多押+32分+耐力+位移
12275,Don't Die,IN Lv.15,15.1,多押+楼梯+32分+变速+位移+定轨
12277,Imprinting,IN Lv.15,15.400002,爆发
12278,Hey-day狂騒曲(カプリチオ),IN Lv.14,14.0,-
12295,琵琶行（short ver.）,IN Lv.14,14.9,32分
12300,星闪闪月弯弯,IN Lv.11,11.0,纵连
12324,Aishite Aishite Aishite,IN Lv.13,13.000002,-
12342,∀NOMALY ,AT,15.8,底力+耐力
12365,End Time,ET Lv.16,16.0,底力+爆发
12366,S.A.T.E.L.L.I.T.E.,AT Lv.16,16.400002,32分+叠键
12395,二重变革,Influence Lv.14,14.0,32分
12397,夢浮橋 (ユメノウキハシ),IN lv.12,12.599999,-
12399,秋姉妹のなく頃に In the Autumn Sky,IN Lv.13,13.900001,楼梯
12436,XN-X 海王星外天体,IN Lv.14,14.600002,32分
12479,玫瑰少年,IN 13.8,13.8,-
125,Flowers,IN,14.5,楼梯+纵连+定轨
12509,Daylight,Hope Lv.14,14.0,读谱+高BPM
12515,NightTheater,IN Lv.15,15.099999,爆发
12528,汚れっちまった、哀しみに…（笑）,IN  Lv.15,15.700003,32分+高BPM
12554,Dream Flower,IN Lv.14,14.0,楼梯+叠键
12560,Nightglow,IN Lv.K423,423.0,楼梯
12572,我和你,IN Lv.11,11.6,32分
12576,U Miss Me,IN Lv.13,13.6,-
12577,MEGALOVANIA (Camellia Remix),AT,16.0,底力+楼梯+耐力+高BPM+位移
1259,BZenith,IN Lv.15,15.400002,多押+耐力+纵连
126,Internet Overdose,CT,10.0,-
12619,Destiny,IN Lv.15,15.0,爆发
12626,Make Up Your World,AT Lv.15,15.400002,32分+耐力
12647,Desolate Domain [FE2CM Original],IN,13.400001,楼梯+纵连
12649,Forever Young,AT Lv.15,15.0,32分+定轨
12671,STYLEPOINTS,IN Lv.14,14.400001,32分
12681,微观戏剧,Legacy Lv.14,14.200001,-
12705,My Sunset,IN Lv.14,14.900003,耐力
12712,The Amazing Digital Circus Theme,IN Lv.14,14.1,32分
12725,绝望性：ヒーロー治疗薬,IN LV.15,15.300001,多押+32分+变速+耐力+高BPM+位移
12734,raputa,IN Lv.16,16.900003,底力+变速+耐力+高BPM+位移
1275,なにやってもうまくいかない,IN.15,15.0,-
12760,甩葱歌,IN Lv.14,14.0,32分
12765,Equality of Equites,IN Lv.14,14.0,多押
12777,人マニア,IN Lv.14,13.999999,楼梯+32分
12792,アポカリプスなう,IN  Lv.14,14.600002,读谱
128,Ēvocator,AT Lv.17,17.500006,底力+多押+楼梯+32分+变速+耐力+叠键+位移+定轨
12810,World's Smallest Violin,IN Lv.14,14.600002,-
12812,Burn (Haocore Mix),IN Lv.15,15.1,多押+32分+变速+位移+定轨
12817,風のたより,IN lv.14,14.0,32分
12843,天灵灵地灵灵,IN Lv.15,15.500002,多押+32分+变速+耐力+位移
12846,Σvreka,AT Lv.17,17.0,底力+多押+32分+爆发+变速+耐力+叠键+位移
12847,ネオン色のまち feat. Mai,IN Lv.14,14.7,-
12850,We Won't be alone,IN Lv.14,14.900003,-
12856,Dogbite,AT Lv.15,15.1,32分+变速+定轨
12865,始点前夕暮れ,IN Lv.15,15.200001,多押+32分+耐力
12870,I Really Want to Stay at Your House,IN,12.5,读谱
129,浮水净华-Lumo-(Original_Mix),IN,15.900003,-
12933,Night Dancer(Teddyloid Remix),IN Lv.15,15.100004,32分+耐力
12934,ふゆびより,NO.12.8,12.1,-
12956,勘冴えて悔しいわ,IN Lv.13,13.799999,耐力
12964,Acht Streiks,AT Lv.16,16.400002,底力+多押+楼梯+变速+耐力+纵连+位移
12973,Interstellar,IN Lv.15,15.400002,耐力
12989,Sky Blue,IN Lv.15,15.1,楼梯
12993,Moonlight Sonata,IN Lv.16,16.0,底力+32分+爆发+变速+耐力+叠键+位移+定轨
13,Nyarlathotep's Dreamland,AT,16.0,底力+多押+32分+爆发+变速+耐力+叠键+位移
13004,群青,SP  Lv.?,10.0,32分+耐力
13019,The piano,IN Lv.13,13.700003,楼梯+纵连
13024,Twinkle Shower,IN Lv.13,13.0,-
13036,星相运轨-The End of Time-,IN Lv.15,15.0,-
13050,Inverted World,IN Lv.15,15.0,底力+多押+爆发+位移
13065,8bit Voyager,AT Lv.16,16.0,楼梯+变速+纵连+叠键
13067,Avantgarde,AT Lv.16+,16.900003,底力+爆发+变速+耐力+叠键+位移
13072,Spin Eternally,IN Lv.16,16.2,底力+多押+32分+变速+耐力+高BPM+位移
13082,★Star Fall in Evernight City,AT  Lv.15,15.400002,多押+楼梯+32分
13085,心如止水,IN Lv.13,13.0,-
13087,超度 -Go Beyond-,AT Lv.16,16.2,底力+多押+32分+变速+耐力+高BPM+叠键+位移
13096,The Lost Aria,IN Lv.14,14.200003,-
13099,Rhythm Hell,IN Lv.Hell,20.0,32分+高BPM
131,Cryheart,IN Lv.14,14.400002,-
13103,See You Again,IN Lv.14,14.099999,楼梯+纵连
13109,Lavender Leaf (fate.Lexi),IN Lv.14,14.900001,-
13110,Aurora,FM Lv.15,15.300001,爆发+位移
13122,Niebelungen,AT  Lv.16,16.400002,底力+多押+32分+爆发+变速+耐力+位移
13128,Hurt Myself,IN Lv.15,15.200001,32分
13131,Ascension to Heaven,AT Lv.16+,16.800001,底力+多押+爆发+耐力+位移+定轨
13134,Rebirth of the MYTH,IN Lv.15,15.1,-
13140,Chrono,SP Lv.2024,2024.0,楼梯+爆发+变速+位移
13145,K,RE:IN Lv.14,14.400002,32分+定轨
13149,Timeline,IN Lv.15,15.0,底力+爆发
13160,我需要更多黑塔,IN Lv.7,17.7,-
13170,Cαηnec/ioη,IN,15.000001,楼梯+耐力
13178,狂虐の乐,　,10.0,底力+爆发+变速+耐力+纵连
13185,Shooting Stars,IN Lv.13,13.400002,-
13186,ずるいよMagnetic today (好狡猾哦Magnetic today),IN Lv.15,15.300005,-
1320,コネクト(Connect),IN Lv.12,12.1,-
13205,folern,IN Lv.15,15.700003,多押+耐力+位移
13207,If Only You,IN Lv.13,13.0,耐力
13210,Sacramentum Unaccompanied Hymn for Torino,HD Lv.9,8.999999,-
13223,Battle Against A True Hero,IN Lv.14,14.200001,-
13235,Euphoria(feat. Tsugumi Nagahara),IN Lv.15,15.400002,32分
13236,来闹放克（MMM）,HD Lv.11,11.200005,-
13237,Get 'em up to R.A.V.E.,IN Lv.14,14.900001,-
1325,グランドエスケープ,WEATHER Lv.12,12.0,-
13256,Daydream café,IN Lv.13,19.6,32分
13265,Doppelganger,AT Lv.16,16.800001,底力+变速
13297,Shizuku,IN Lv.14,14.6,32分
13303,By Your Side,IN Lv.14,14.3,-
13306,重音テトSV】萨卡萨卡班班甲鱼鱼,SP Lv.?,12.7,多押+32分+位移
13318,Super Universe (Knighthood Remix.),IN  Lv.15,15.8,底力+多押+变速+耐力+位移+定轨
1332,Super Fructose,FURRY Lv.14,14.9,多押+32分+读谱+高BPM+叠键
13332,Eligos,IN Lv.16,16.2,底力+变速+耐力+高BPM+定轨
1334,Mystery Circles Ultra,AT Lv.16,16.800001,底力+楼梯+32分+变速+耐力+叠键
13349,Love's Oracle,IN Lv.13,13.0,32分
13363,チルノのパーフェクトさんすう教室,IN Lv.14,14.800003,多押+位移
13364,PUPA (uma Remix),SP Lv.15,15.299999,底力+爆发+位移
