id,name,level,diff,tags
22072,恋せよ乙女!,IN Lv.14,14.700001,32分+变速+高BPM
2253,ヒアソビ,IN  Lv.15,15.0,爆发+纵连
22681,Pandemic,IN Lv.15,15.300005,变速
22766,シカ色デイズ (TV Size),IN  Lv.13,13.200001,-
23075,好,IN Lv.15,15.500002,楼梯+32分
232,Re：End of a Dream,IN,15.688889,多押+变速+高BPM+位移
23599,Mr. Scratch Man,ST  Lv.16,16.800003,多押+楼梯+32分+变速+耐力+叠键
23649,SUPER REACTOR,IN Lv.14,14.2,32分
23677,Crush Expert,ST Lv.15,15.400002,32分
23740,Ark in the Blood Sky,ST Lv.15,15.300001,底力+爆发+纵连
23762,ハッピーフェイクショー (feat. はぁち),ST Lv.16,16.300001,底力+爆发
23769,ニャンだふる♡サマー!!,IN Lv.15,15.8,多押+变速+高BPM+位移
23796,はいよろこんで,IN  Lv.15,15.800001,-
23879,かたち,Abyss Lv.14,14.500002,32分
23951,Conway's Child,ST Lv.15,15.800003,底力+爆发+耐力+位移
24079,Tablear,ST Lv.15,15.7,楼梯+位移
24089,Record Player,ST Lv.16,16.000002,楼梯
24101,RE Aoharu,IN Lv.15,15.0,32分+定轨
24253,Transparent ZERO,ST Lv.15,15.700003,32分+耐力+叠键
24254,Nemesis,ST Lv.16,16.300001,底力+多押+变速+高BPM+位移
24295,きゅびびびびずむ,IN  Lv.15,15.600002,楼梯+变速+耐力
24310,MARENOL,FM Lv.15,15.1,楼梯+纵连+叠键
24421,Screw 'N' Twisty,ST  Lv.17,17.000004,底力+32分+爆发+耐力+位移
24435,超☆超☆光☆速☆出☆前☆最☆速!!! スピード★スター★かなで,AT Lv.16,16.300001,底力+楼梯+32分+变速+位移
24762,白庭,ST Lv.16,16.2,楼梯+高BPM
24881,Makear,ST Lv.18,18.000004,底力+多押+32分+爆发+变速+耐力+高BPM+叠键+位移+定轨
24882,POLYBIUS GB SPEEDRUN -Glitchless 100% WR in 0:03:57-,ST  Lv.BadEnd,17.1,底力+多押+楼梯+爆发+变速+耐力+叠键+位移
24969,WACCA ULTRA DREAM MEGAMIX,ST  Lv.FINAL,17.700003,底力+多押+楼梯+32分+变速+耐力+叠键+位移
24973,Rocky Buinne,AT Lv.17,17.100002,底力+变速+高BPM+位移
25019,sic transit gloria mundi,AT  Lv.16,16.500002,底力+耐力+位移+定轨
25181,Empuxa,IN Lv.15,15.600002,-
25200,Butterfly Twist,IN Lv.14,14.500002,楼梯+爆发
2525,LIN NE KRO NE,AT,16.311111,多押+32分+变速+耐力+高BPM+叠键+位移
25317,はいよろこんで,IN Lv.14,14.900002,楼梯+定轨
25342,A Gleam For The Sightless,IN Lv.13,13.700003,楼梯+纵连
2553,me & u,IN Lv.14,14.0,-
2568,Antler,FM Lv.14,14.744445,爆发
25818,蛍はいなかった（初音未来.ver）,IN Lv.14,14.600002,32分
25869,!⸮ WAS IT A CAT I SAW ?!,INS  Lv.14,14.800003,楼梯+变速
25905,Surveillance(feat. RANASOL),IN Lv.14,14.600002,楼梯
26119,再生,CM Lv.14,14.9000025,32分+位移
2613,驟雨の狭間,AT Lv.16,16.0,底力+爆发+耐力
2617,打上花火,IN Lv.13,13.477778,-
26748,Overjoy ★ OVERDOSE!!,IN Lv.14,14.900001,-
26795,私は雨,IN  Lv.13,13.400002,-
26808,ぜったい！昇天★鎮魂歌♂,IN Lv.16,16.400002,底力+多押+变速+耐力+高BPM+位移
27015,Hullbreaker,IN  Lv.12,12.499998,-
2703,Sakura Fubuki,AT Lv.15,15.522222,楼梯
27148,Error Code (VIP Mix),FM Lv.16+,16.7,底力+楼梯+变速+纵连+叠键
27234,無機質世界に彩を,SP Lv.?,15.8,爆发
27238,Armageddon,「終」 Lv.16,16.300003,变速+耐力
27247,tarte de fruits,IN Lv.15,15.0,楼梯
27250,空白とカタルシス,IN Lv.15,15.500002,楼梯+耐力+位移
27253,The Ghost,IN Lv.14,14.600002,-
27282,Break Through Myself,EX  Lv.15,15.500002,楼梯+32分+变速+纵连+位移
27446,Growth Call,IN Lv.14,14.300001,楼梯
27552,Black Lotus,IN Lv.15,15.300001,底力+楼梯+爆发+变速+位移+定轨
27576,つよがるガール ,IN Lv.14,14.200001,-
27654,メディカドール,MI Lv.15,15.0,耐力
27688,ベースラインやってる？笑,IN Lv.14,14.700003,32分
28167,DX超性能フルメタル少女,SP Lv.纵连打,16.200003,32分+变速+纵连+叠键+定轨
28269,《偏愛》~Shattered Memories,IN Lv.14,14.200001,爆发
2843,Black Lotus,IN Lv.15,15.0,底力+爆发+位移
28431,I I I,IN  Lv.14,14.700003,楼梯+32分+纵连
28438,またおいで,IN  Lv.12,12.200001,32分
288,Shore in the Rain,IN Lv.15,15.477778,底力+楼梯+爆发
28828,Gloomy Flash,IN Lv.14,14.0,楼梯
29025,Up to 21℃,IN  Lv.?,14.5,楼梯
29071,πevergod,IN Lv.16,16.000004,楼梯+变速
29074,喃喃萤火,SP Lv.13,13.0,楼梯
291,Plumes ~Phase Hope~,AT  Lv.15,15.0,底力+多押+32分+耐力+位移
29180,ニニ,IN Lv.15,15.3,楼梯
29255,物凄いスペースシャトルでこいしが物凄いうた,AT Lv.15,15.900003,32分+变速+叠键
2935,海神寓拝,IN Lv.13,13.0,-
29558,MEGATON BLAST,IN Lv.15,15.200001,底力+楼梯+耐力+位移
29578,Birds of Plague,AT Lv.17,17.100004,底力+耐力+位移
29764,Xevel,IN Lv.15,15.600002,底力+楼梯+爆发+变速+耐力+叠键+位移
29782,甜甜饕餮糖糖,HD Candy Lv.13,13.0,-
300,骤雨の狭间,IN  Lv.15,15.422222,底力+楼梯+爆发+耐力+纵连
30039,僕なんかいなくても,IN  Lv.14,14.200001,-
30220,モニタリング,IN  Lv.14,14.600002,-
30296,Super Fructose,IN Lv.14,14.400004,-
30333,时间口口事件,WAW Lv.15,15.200003,楼梯+变速+位移
305,SILENT BLUE,IN Lv.15,15.500002,底力
30513,Energizing Flame,IN Lv.15,15.900003,多押+耐力+位移
30698,みむかｩわナイストライ,ぬ  Lv.70,15.300001,纵连
3075,Aulture,IN Lv.15,15.800003,爆发+纵连
30888,Polestar,Fm Lv.15,15.3,楼梯
309,Mermaid girl-秋葉工房 MIX-,IN Lv.15,15.0,多押+32分+变速
31906,Komplexe,IN Lv.14,14.799999,纵连
32006,神圣之光 (Arklight),AT Lv.16,16.400002,楼梯+变速+耐力+纵连+位移
32011,Reverberate,IN Lv.15,15.800003,位移
32080,夜風に吹かれて口笛を,IN Lv.13,13.900003,32分
32097,Megameteor,AT Lv.17,17.400005,底力+多押+楼梯+32分+变速+耐力+位移
32553,Pictured as Perfect,AT Lv.15,15.900003,定轨
32628,Intruder,IN Lv.14,14.600002,楼梯
32957,KiLLKiSS,IN Lv.15,15.700003,底力+多押+32分+变速+耐力+位移
32994,lost umbrella(yuigot Remix),lost,14.799998,-
33115,Super Fructose,IN Lv.14,14.500002,-
33370,B.B.K.K.B.K.K. (2023 Remake),AT Lv.15,15.600002,底力+楼梯
33628,AINEED,IN Lv.14,14.700003,变速
34153,off-grid,IN Lv.15,15.0,楼梯
34249,Psychometry,IN Lv.14,14.0,变速+位移
3433,患部で止まってすぐ溶ける ～ 狂気の優曇華院,IN  Lv.15,15.0,32分+位移
34408,[CRYSTAL_ACCESS],IN Lv.15,15.8,楼梯+定轨
34550,テレパシ feat. 初音ミク,IN Lv.15,15.1,32分
34579,Event Horizon,IN Lv.14,14.7,-
34580,mystique as iris,IN  Lv.15,15.8,32分+变速+位移
34582,Let you DIVE!,IN Lv.14,14.500002,楼梯
34584,Garakuta Doll Play,IN Lv.16+,16.800005,多押+32分+变速+耐力+高BPM+位移
34601,Light Of Love,IN Lv.15,15.300001,爆发
34607,スカーレット警察のゲットーパトロール24時,IN Lv.14,14.400002,底力
34645,The wheel to the right,AT Lv.16,16.7,多押+32分+变速+位移
34658,ミニ偏,AT Lv.15,15.1,-
34679,テウメッサ,AT Lv.16,16.400002,底力+爆发+耐力+位移
34772,ツムギボシ,IN Lv.15,15.1,楼梯+定轨
3497,Wonderscape,IN Lv.13,13.0,-
3503,88☆彡,IN Lv.14,14.0,-
35161,Nijirate Fanatics,IN Lv.15,15.0,纵连+定轨
35829,「特殊作戦『デカグラマトン』編」Theme 2,SP Lv.?,15.9,-
35974,テトリス,IN Lv.15,15.200001,多押+楼梯+32分+变速+耐力
36040,魔理沙は大変なものを盗んでいきました,SP Lv.避,16.500004,底力+楼梯+32分+变速+耐力+纵连+叠键+位移+定轨
36082,Up to 21°C,IN Lv.14,14.300001,-
36155,Escape a Cyber City,IN Lv.15,15.400002,楼梯
36238,Doping Dance,IN Lv.15,15.0,多押+楼梯+32分+变速+位移
3632,ナイト・オブ・ナイツ (Cranky Remix),IN Lv.16,16.200003,多押+楼梯+32分+变速
3636,MARENOL 1mg,AT Lv.15,15.300002,底力+楼梯+变速+纵连
36418,Elusive Enforcer,IN Lv.15,15.400002,多押+楼梯+32分+变速+位移
36719,Eternal Snow,IN Lv.14,14.800003,-
36733,D/N/A,IN  Lv.15,15.300001,32分
36810,Alice in a xxxxxxxx,IN Lv.14,14.700003,-
3684,ネヴァモア,IN Lv.13,13.599999,-
3690,Recollect,IN Lv.12,12.0,-
37001,Death By Glamour,EX Lv.15,15.300009,变速
37051,Inverse Form VIP,IN Lv.15,15.600002,纵连
37112,[A]ddiction,IN Lv.14,14.700003,多押+楼梯+32分+变速+耐力
37193,颜,IN  Lv.15,16.0,位移
37709,Nemexis,IN Lv.16,16.400002,底力+变速+耐力
38139,非実在系女子達はどうすりゃいいですか?,IN Lv.14,14.8,爆发+位移
38289,徳川カップヌードル禁止令,IN Lv.15,15.600002,楼梯
38655,See You Move,IN  Lv.15,15.600002,楼梯+32分+变速+位移
38854,Lemon,IN Lv.13,13.800003,-
3895,Light of  Love,AT Lv.15,15.511111,-
3912,qualia -ideaesthesia-,IN Lv.15,15.0,-
393,アイデン貞貞メルトダウン,ONIMAI Lv.14,14.0,多押+32分+变速
3938,Head BONK Ache,AT Lv.16,16.2,32分
3997,3rd Avenue,IN  Lv.13,13.0,32分
4061,Mechanical Rhapsody,IN Lv.13,13.0,32分
4083,Bl∞min',AT Lv.16,16.0,底力+爆发+耐力+高BPM+叠键+位移
